ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ADS month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ADS abstract link,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract
ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274
First Author,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,"Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime"
label string,B22-A-fiducial,B22-A-fiducial,B22-B-beta0-25,B22-B-beta0-25,B22-C-beta0-5,B22-C-beta0-5,B22-D-beta0-75,B22-D-beta0-75,B22-E-unstableBB,B22-E-unstableBB,B22-F-unstableBB-optimistic,B22-F-unstableBB-optimistic,B22-G-alpha0-1,B22-G-alpha0-1,B22-H-alpha0-5,B22-H-alpha0-5,B22-I-alpha2,B22-I-alpha2,B22-J-alpha10,B22-J-alpha10,B22-K-optimisticCE,B22-K-optimisticCE,B22-L-rapid,B22-L-rapid,B22-M-max-mNS:2,B22-M-max-mNS:2,B22-N-max-mNS:3,B22-N-max-mNS:3,B22-O-noPISN,B22-O-noPISN,B22-P-sigma:100,B22-P-sigma:100,B22-Q-sigma:30,B22-Q-sigma:30,B22-R-noBHkick,B22-R-noBHkick,B22-S-fWR:0-1,B22-S-fWR:0-1,B22-T-fWR:5,B22-T-fWR:5,RG21-SN:N20,RG21-SN:N20,RG21-SN:rapid,RG21-SN:rapid,RG21-SN:delayed,RG21-SN:delayed,RG21-ESCN:Full-SN:N20,RG21-ESCN:Full-SN:N20,RG21-ESCN:Full-SN:rapid,RG21-ESCN:Full-SN:rapid,RG21-ECSN:Full-SN:delayed,RG21-ECSN:Full-SN:delayed,RG21-noBHkick-SN:N20,RG21-noBHkick-SN:N20,RG21-noBHkick-SN:rapid,RG21-noBHkick-SN:rapid,RG21-noBH-kick-SN:delayed,RG21-noBH-kick-SN:delayed
code,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON
"type of limit (for plotting, see jupyter notebook for a dictionary) ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.0.0.0,0.0540748347,43.02277651,0.100876181,17.82799294,0.2157566384,10.11018047,0.4626803292,4.70160815,0.08346646904,8.199414629,0.02804608393,27.5952393,0.001179233718,3.304914305,0.1227029608,9.203985594,0.1080786746,51.68212332,0.4907505997,17.91214103,0.04403676556,53.293,0.0172696652,131.2264722,0.05535526909,39.20624627,0.05697992642,46.53685197,0.05475161803,43.77647507,0.05077663915,137.1876773,0.03008388573,282.5431898,0.03363244288,225.5014272,0.03600467545,64.00103451,0.2770594758,5.700943696,0.000,77.240,0.00,10.140,0.00,5.650,0,69.350,0,10.710,0,5.810,0.000,77.240,0,16.54,0,32.67
.1.1.1,0.1517771334,203.5685909,0.2353162094,97.97499734,0.4013150272,64.42542734,0.677173743,42.68748409,0.1590840598,47.9292706,0.08982878226,215.1206334,0.007487780702,11.7625629,0.1719266507,80.33656801,0.2313169795,245.8463401,0.5857970391,141.489463,0.1140422053,272.5954365,0.08653643722,432.4658595,0.1546500379,163.7784592,0.1483367539,237.0196341,0.1497525557,207.297249,0.1551639232,500.1033522,0.1061817034,829.6349353,0.1347975399,632.175996,0.1357227169,198.7314991,0.3181808362,77.70895353,,,,,,,,,,,,,,,,,,
.1.1.2,0.08130418414,40.31610525,0.1442849501,17.39945329,0.2727932026,10.39661536,0.556573415,5.445862883,0.1042792227,8.318194285,0.04332939742,32.33618277,0.001988980313,2.974844095,0.1445673949,10.5746347,0.1369936431,49.95417181,0.5233038694,20.05980665,0.06367097199,51.83535374,0.02928934453,118.8354834,0.08022764905,35.60065739,0.08218618008,44.51969461,0.08063369215,41.07228595,0.07535743237,119.6025763,0.04633650331,229.6579351,0.05309138982,184.7196203,0.05326018539,56.53396478,0.2979082024,7.919287778,,,,,,,,,,,,,,,,,,
.1.1.3,0.04315842505,73.82163192,0.08626294807,28.43969978,0.176692296,15.2148203,0.4021964987,7.033815208,0.05463553969,14.30571244,0.02580787098,51.73997289,0.001050417132,4.991651652,0.07650256225,17.35919416,0.08319045624,79.69939177,0.4201806608,21.95800229,0.03403309996,94.15104238,0.01709482341,215.8472919,0.04356106627,65.99713802,0.04360189788,80.57546768,0.04287126755,75.24055075,0.04191984,222.8097289,0.02621223735,445.5072366,0.0297498031,352.4266401,0.03154485871,101.1330362,0.2136963676,8.165580468,,,,,,,,,,,,,,,,,,
.1.2.1,0.1723729888,189.8575983,0.2415139117,98.0727557,0.4186627065,65.05448661,0.6773281801,45.6272501,0.1905353567,44.13873365,0.1147661629,199.6796103,0.00873310513,11.56829068,0.2068918105,74.94418484,0.2904384478,241.3876649,0.6146900958,191.6032833,0.1317364324,249.8039947,0.1022603699,392.2403559,0.1733490116,152.1068077,0.1687245433,221.7411964,0.1701096226,193.1665069,0.1731746241,460.0198456,0.1162974245,758.469241,0.1506034251,573.4033836,0.1549553008,186.2429021,0.3237641927,88.58812826,,,,,,,,,,,,,,,,,,
.1.2.2,0.138327599,58.14253363,0.2128017553,27.58100075,0.3516440673,18.86077924,0.6301971747,11.81638195,0.1635267361,12.70664362,0.07929780983,47.15395353,0.004045426156,4.309182604,0.2185006531,17.55091958,0.2224404029,80.73688124,0.6049684068,54.33927723,0.1083746962,74.58424064,0.05783891803,148.1963104,0.1329497535,49.593,0.1349265885,65.6152134,0.1329672523,59.06717256,0.1280390728,159.2295868,0.07934989753,288.1186423,0.09681011163,223.6083783,0.1002577024,69.71861359,0.3321536852,20.00089161,,,,,,,,,,,,,,,,,,
.1.2.3,0.1055193451,87.17851731,0.1823674498,37.93396694,0.313613967,24.58833436,0.5901341465,14.37665542,0.1249067003,18.53271637,0.05888945994,66.38350219,0.00313346028,6.022441357,0.1681673757,24.81798472,0.1707391282,110.5713133,0.5613133145,54.18521047,0.08253952043,112.1631524,0.04440667688,225.8659735,0.103,75.190,0.1042420893,97.64244775,0.1027095216,88.74500616,0.09860035213,245.1669107,0.0607985179,460.3194891,0.07351172375,355.6648341,0.0779973917,104.6753557,0.3118998214,22.44892665,,,,,,,,,,,,,,,,,,
.1.3.1,0.1708066291,198.3570617,0.2399716285,102.255686,0.4155931673,67.82267636,0.6749475915,47.46872346,0.1874569124,46.68473175,0.1096159404,213.8284417,0.008555155612,12.04819334,0.1983553516,80.71711079,0.2937581132,251.2982478,0.6179082595,203.2832843,0.1298120547,262.4535676,0.1019122406,405.1930868,0.173,158.455,0.1670101834,232.0551353,0.1683817199,201.742619,0.1735827376,477.1582962,0.1179784057,778.1409606,0.1527763517,587.5731125,0.1554137919,192.5865154,0.3243051241,90.47328834,,,,,,,,,,,,,,,,,,
.1.3.2,0.143422623,58.69181244,0.2213310819,27.86868527,0.3514754619,19.85591987,0.6270415465,12.52073549,0.1747210414,12.73327117,0.07648757833,44.73478137,0.003896279734,4.554854271,0.2380268625,17.2712722,0.2357504554,84.93669772,0.6070826797,61.14227153,0.1134225786,74.61126438,0.05781673654,150.002479,0.1375092521,50.46542775,0.1407197466,65.93910901,0.1384992206,59.65515073,0.1327046016,161.5514378,0.08129617014,293.5840186,0.09944029198,226.762928,0.1038194494,71.02235031,0.3417359747,20.93679785,,,,,,,,,,,,,,,,,,
.1.3.3,0.1098282576,89.48378341,0.1917763236,38.97422726,0.3190581325,26.13634354,0.5923725975,15.48804226,0.1342566708,18.92964995,0.05697213194,64.94176807,0.003271893218,6.394109488,0.1835498328,24.98409598,0.1801676174,116.7386341,0.563215439,60.27116371,0.08651101787,114.2736554,0.04540682111,230.528007,0.1071096235,77.64356426,0.1093270754,99.9348418,0.1080259477,91.14790178,0.1027471203,253.0538146,0.06270633839,477.0096001,0.0759038981,367.0483241,0.08235737589,107.2610352,0.3250626018,24.08548957,,,,,,,,,,,,,,,,,,
.2.1.1,0.1743320842,199.0068383,0.2486287059,101.4740559,0.4076638516,70.71246571,0.677782361,47.50584746,0.1835439347,48.13720823,0.09697333215,220.4221047,0.007164911876,12.679161,0.1963963226,82.09614672,0.2631656642,262.2380424,0.6158792082,191.4588061,0.1313070537,266.1225831,0.09561274566,409.105115,0.1762672424,159.2136318,0.1677407139,232.1693329,0.1677255528,202.4069511,0.175843895,486.8849778,0.1191351244,799.3961829,0.1519243236,607.1471085,0.1528199243,193.1409293,0.3298816357,85.93620534,,,,,,,,,,,,,,,,,,
.2.1.2,0.1284892342,51.45755125,0.2007479694,24.8151368,0.337886345,17.76064303,0.6255455008,9.900705582,0.1649643081,11.60718558,0.06398307905,38.86239543,0.002730635579,4.391103361,0.2372563819,14.32859927,0.1913024349,79.12999176,0.594846634,46.00287137,0.09987106345,66.9715311,0.04451617226,141.5964735,0.1254775026,44.72184416,0.1305508532,57.59791541,0.1273602823,52.49961723,0.1193506061,147.6945006,0.07563698813,269.2459041,0.08737904733,212.8240356,0.08520585626,66.95176124,0.3369335855,15.59656965,,,,,,,,,,,,,,,,,,
.2.1.3,0.06210287537,83.95198574,0.1115537943,34.82441906,0.2150568986,20.80272921,0.4680452116,9.728445558,0.07740016402,18.30812722,0.03306666232,60.79791029,0.001417667284,6.39098986,0.1147466603,19.91785177,0.09853601099,112.2208372,0.4535295337,33.85447776,0.04784164385,109.7063987,0.02216554327,240.0361447,0.06154517623,73.72549302,0.06191504125,93.17123101,0.06186038491,85.52478602,0.06050770476,246.9355523,0.03846061277,473.5173371,0.04427447369,372.3329062,0.04573131824,108.5572746,0.2288358666,12.77935212,,,,,,,,,,,,,,,,,,
.2.2.1,0.1906368699,183.8493042,0.2440240739,99.43780887,0.4154220544,68.35640184,0.6714801784,48.38979366,0.204884988,43.67646059,0.1197762778,204.5290607,0.008087157294,12.16160531,0.2235695432,75.21191277,0.3244302852,253.0076984,0.6447638726,251.3874747,0.1459617911,241.2005442,0.1097558455,367.5053769,0.1887425148,145.8140411,0.1818440507,214.8204301,0.1801808095,186.1890395,0.1870387471,442.1436015,0.1235681167,725.6610501,0.1612286745,543.7798481,0.1646049052,178.9421656,0.3324722966,92.24544965,,,,,,,,,,,,,,,,,,
.2.2.2,0.1843019874,66.19345786,0.2359888607,33.40345848,0.3666799862,25.65972295,0.6295107248,16.64652231,0.1975510211,14.89157324,0.09152853469,51.59451139,0.003772879393,5.439620504,0.2741158744,20.43135748,0.2784512974,106.9415958,0.6556996882,100.3784534,0.1449263457,84.75239093,0.07184989773,158.9240325,0.1696503432,55.67280464,0.1684145874,74.65525551,0.1592778005,66.71040361,1.60E-01,176.1275899,0.09870105999,310.1409513,0.1233013209,236.0331142,0.1242414136,75.53873202,0.346121784,27.96799871,,,,,,,,,,,,,,,,,,
.2.2.3,0.1436058891,94.47323773,0.2142530264,44.15730197,0.3449610122,32.06770656,0.613225491,19.51775896,0.1596161233,21.21306335,0.07078889815,71.97035195,0.003261793223,7.232437552,0.2213627311,27.83123413,0.2145677884,140.085648,0.617774128,92.2590274,0.1124535801,121.9366687,0.05596238753,234.4200935,1.37E-01,80.42551853,0.1362166271,106.4825775,0.1312794329,95.93883502,1.29E-01,259.7937419,0.08023638683,472.4447049,0.09848604766,361.2983999,0.1019162675,108.4710594,0.3301335558,31.10373821,,,,,,,,,,,,,,,,,,
.2.3.1,0.1886050563,191.3754036,0.2421777354,103.3451843,0.4130921601,70.89561046,0.669594466,50.12606347,0.2016360721,46.07109188,0.114409241,218.8005286,0.007965470633,12.62362938,0.2137536266,80.72920976,0.3271961136,261.6218528,0.6462791911,263.2115103,0.1436377714,252.429942,0.1093482163,378.3780992,1.88E-01,151.3385806,0.1798251886,224.0053315,0.1782770432,193.7581225,1.87E-01,457.4252372,0.1248264409,743.5303174,0.1628219287,557.0269729,0.1647772045,184.7280776,0.3333015384,93.96024435,,,,,,,,,,,,,,,,,,
.2.3.2,0.1864210083,66.8380702,0.2431576238,33.82953666,0.3651357126,26.87388212,0.6271609484,17.46875417,0.2090490452,14.98373055,0.08984713299,49.13926531,0.003659804434,5.735688611,0.2906261843,20.3331951,0.2850304888,111.3827886,0.6512443658,106.8680028,0.1477551088,84.94400544,0.07133261365,160.758462,1.73E-01,56.84509465,0.1731505443,75.16199481,0.1645909101,67.54444427,0.1642042601,178.9387131,0.1006196547,316.1088093,0.126328765,239.3665405,0.1279990599,76.92934001,0.3499942465,29.20250442,,,,,,,,,,,,,,,,,,
.2.3.3,0.1466305322,96.93365761,0.2272889519,45.87533838,0.3535031764,34.18502649,0.6273650471,20.92933568,0.1746574044,21.86374744,0.0716311551,70.64027451,0.004003380897,7.742133074,0.2409940638,28.50187581,0.2169580954,147.3157629,0.605409962,95.92113385,0.1152740614,124.2454903,0.05793749725,238.7797574,0.142541261,83.20600993,0.1433145603,109.1095658,0.1405971482,98.64773457,0.1365047559,268.5064097,0.08466072665,488.7933883,0.1037676598,372.1763594,0.1094582675,111.1483834,0.3434400887,33.61433106,,,,,,,,,,,,,,,,,,
.3.1.1,0.1594267231,137.8476897,0.2450514798,67.42518355,0.4086629495,45.20051547,0.6854125151,30.12779695,0.1683514033,32.71032277,0.09226958805,144.3367739,0.007458891241,8.212935818,0.1826229479,54.53165234,0.2367320257,171.8387419,0.5892187193,101.7927367,0.1199353621,184.3233122,0.08965753066,291.3253377,0.1625207246,110.8342877,0.1556968545,160.6587465,0.1574320317,140.3358431,0.1637029974,338.8258096,0.1121534037,559.1206191,0.1422641895,425.4571077,0.1428327196,134.1285395,0.3253561307,54.76541443,,,,,,,,,,,,,,,,,,
.3.1.2,0.08167966219,29.23476145,0.1453391325,12.63977014,0.2700495027,7.611290925,0.55717653,3.954758705,0.1041874753,6.05802782,0.04355820732,22.67044825,0.001870646598,2.195745741,0.1490916028,7.422439052,0.1340175413,37.10287662,0.5182582729,14.48879353,0.06376993876,37.68297937,0.029,86.64660419,0.08098680171,25.85434113,0.08210143707,32.32316149,0.08097293736,29.778,0.07643404926,86.48529551,0.0472232119,164.8897941,0.05426143143,132.5681579,0.05410273943,40.84515525,0.2964471592,5.744311238,,,,,,,,,,,,,,,,,,
.3.1.3,0.04431149143,52.52364523,0.08868223649,20.28784527,0.176875513,11.04704209,0.4049467185,5.095167973,0.05553259724,10.29388842,0.02599773066,36.20769257,0.001005975511,3.613560177,0.08013327028,12.08366845,0.08337715637,58.40712469,0.4223030505,16.11922199,0.0347962572,67.2514261,0.017,153.565853,0.04503415535,46.95410911,0.04449589683,57.46480874,0.04399683104,53.53167334,0.04346212627,157.5445611,0.02732763942,311.7935633,0.03115808735,246.5673503,0.03300384571,71.14653626,0.2133496477,5.972192515,,,,,,,,,,,,,,,,,,
.3.2.1,0.1781726898,128.1953477,0.2475220344,67.20746831,0.4215215217,45.30392972,0.6806630262,31.88656299,0.1990516209,30.00488783,0.1170481745,133.7731369,0.008547284069,8.074571027,0.2163735107,50.87059114,0.2963768249,167.6875844,0.6178841477,137.9336079,0.1363666782,168.4080316,0.105,263.0817418,0.1793875361,102.7031276,0.1746373443,149.7835708,0.1762561198,130.4030934,0.1801076615,310.8759184,0.1209452084,510.4171623,0.1566642737,384.7525175,0.1606900759,125.4735257,0.3288662009,61.6550434,,,,,,,,,,,,,,,,,,
.3.2.2,0.1423875245,41.32841088,0.2188927411,19.84906568,0.3539822643,13.79326948,0.6358880162,8.635980902,0.1695446473,9.122486424,0.08144991997,32.6069853,0.003945339459,3.158959474,0.230683371,12.34871614,0.2225836572,59.34005575,0.6043749868,40.00857233,0.1114672168,53.04399332,0.058613447,105.4054526,0.1375181281,35.29271676,0.1391229886,46.70487103,0.1379613434,41.99500834,0.1333806054,113.1403356,0.08308329409,203.1951986,0.1014521182,157.3762727,0.1044191302,49.34351146,0.335918601,14.60468525,,,,,,,,,,,,,,,,,,
.3.2.3,0.1100194914,61.1610879,0.1891629576,26.95988907,0.3176620824,17.80343874,0.5972196409,10.43541421,0.1300034728,13.19077819,0.06066730909,45.81287603,0.003101767892,4.346003273,0.1785826481,17.26709448,0.1719599746,80.52768235,0.561841914,39.71162576,0.08587334412,78.82500965,0.04565419994,158.2239316,0.1074925696,52.72587475,0.1084568747,68.67413978,0.1075557536,62.25679986,0.1038476299,171.440799,0.06445051963,318.8324534,0.0780919862,245.9333638,0.082484412,72.75183453,0.3152106366,16.37212667,,,,,,,,,,,,,,,,,,
.3.3.1,0.1768521792,133.7703941,0.2462915099,70.01565899,0.419213148,47.1932202,0.6788551891,33.16890508,0.1963511439,31.6852008,0.1119793093,143.1313518,0.00840729583,8.396380631,0.2077449925,54.71822678,0.3000972863,174.1826915,0.6210372567,146.0560096,0.1346351052,176.674169,0.1046078417,271.3844972,0.1789295306,106.8681675,0.1731631005,156.5491761,0.1747473216,136.0179368,0.1807117319,322.1462034,0.1227459748,523.3362593,0.1589881597,394.0904961,0.1613570563,129.6677789,0.3298683993,63.01005257,,,,,,,,,,,,,,,,,,
.3.3.2,0.147163532,41.84310494,0.2267741817,20.09912681,0.3535836563,14.51033441,0.6325832614,9.137063371,0.1799493931,9.173438189,0.07888352394,31.05624966,0.003806430231,3.333654247,0.2495211858,12.1952018,0.2345178808,62.36377808,0.6063134356,44.69265354,0.1162437133,53.24208346,0.05856820701,106.9567449,0.1416942133,35.9988501,0.144530943,47.08219635,0.143064542,42.53424416,0.1376968026,115.062903,0.08487532733,207.4509188,0.1039227711,159.9518821,0.1077412167,50.35487059,0.3447023741,15.27855122,,,,,,,,,,,,,,,,,,
.3.3.3,0.1143977266,62.74136955,0.1980831736,27.68810486,0.3225410718,18.88620662,0.5982397367,11.21722946,0.1385992518,13.49659941,0.05885465899,44.92455179,0.003208332835,4.601128179,0.1934473374,17.40307881,0.1806615679,84.92398022,0.5639500641,43.94442299,0.08987283321,80.31498594,0.04674031956,161.2224518,0.1119004178,54.38211243,0.1134312285,70.27749862,0.1127176359,63.90016396,0.1079525807,176.7090754,0.06640946657,329.6317042,0.08061813504,253.1632258,0.08699338321,74.33529192,0.3270339049,17.51995553,,,,,,,,,,,,,,,,,,